// This data has been estimated from Figure 2 in Johnson, Douglas M., et al. "Compressional wave velocities of a lunar regolith sample in a simulated lunar environment." Journal of Geophysical Research: Solid Earth 87.B3 (1982): 1899-1902.			
// Data extracted using WebPlotDigitizer (https://automeris.io/WebPlotDigitizer/index.html)			
// Profile # corresponds to the three different initial porosities (marker shapes from figure)			
// Density in g/cm3, Stress in Bar, Velocity in m/s		
//			
Profile	Density	Stress	Velocity
1	1.29	0.194174757	186.0606061
1	1.29	0.446601942	213.9393939
1	1.29	0.708737864	220
1	1.29	0.980582524	245.4545455
1	1.29	1.242718447	310.9090909
1	1.29	1.495145631	332.7272727
1	1.29	1.762135922	370.3030303
2	1.39	0.048543689	123.030303
2	1.39	0.111650485	138.7878788
2	1.39	0.213592233	216.3636364
2	1.39	0.334951456	269.6969697
2	1.39	0.466019417	262.4242424
2	1.39	0.606796117	295.1515152
2	1.39	0.626213592	316.969697
2	1.39	0.665048544	330.3030303
2	1.39	0.786407767	361.8181818
2	1.39	0.927184466	420
2	1.39	1.281553398	422.4242424
2	1.39	1.40776699	424.8484848
2	1.39	1.54368932	430.9090909
2	1.39	1.67961165	475.7575758
2	1.39	1.815533981	512.1212121
2	1.39	2.029126214	474.5454545
3	1.53	0.504854369	182.4242424
3	1.53	1.033980583	263.6363636
3	1.53	1.563106796	407.8787879
3	1.53	2.126213592	398.1818182
1	1.87	0.17961165	221.2121212
1	1.87	0.451456311	287.8787879
1	1.87	0.713592233	344.8484848
1	1.87	0.980582524	354.5454545
1	1.87	1.237864078	373.9393939
1	1.87	1.485436893	393.3333333
1	1.87	1.766990291	389.6969697
2	1.87	0.009708738	230.9090909
2	1.87	0.344660194	330.3030303
2	1.87	0.606796117	383.6363636
2	1.87	0.655339806	390.9090909
2	1.87	0.932038835	401.8181818
2	1.87	1.40776699	445.4545455
2	1.87	1.67961165	485.4545455
3	1.87	0.140776699	253.9393939
3	1.87	0.45631068	335.1515152
3	1.87	0.708737864	378.7878788
3	1.87	0.980582524	413.9393939
3	1.87	1.22815534	430.9090909
3	1.87	1.5	476.969697
3	1.87	1.868932039	449.0909091
3	1.87	2.126213592	451.5151515
