T	c11	c33	c12	c13	c44	BS
50	1.682	1.787	0.8617	0.7559	0.3539	1.1
60	1.674	1.782	0.8548	0.7467	0.3529	1.092
70	1.665	1.776	0.8477	0.7377	0.3517	1.084
80	1.656	1.768	0.8405	0.7287	0.3503	1.075
90	1.647	1.76	0.8331	0.7197	0.3486	1.067
100	1.637	1.751	0.8254	0.7107	0.3466	1.058
110	1.626	1.742	0.8175	0.7017	0.3446	1.048
120	1.614	1.731	0.8095	0.6928	0.342	1.039
130	1.602	1.72	0.8012	0.6839	0.3394	1.029
140	1.59	1.707	0.7927	0.675	0.3366	1.019
150	1.576	1.694	0.784	0.6661	0.3336	1.009
160	1.562	1.68	0.7752	0.6573	0.3305	0.9983
170	1.548	1.666	0.7661	0.6485	0.3272	0.9875
180	1.533	1.65	0.7568	0.6397	0.3238	0.9764
190	1.517	1.633	0.7472	0.6309	0.3202	0.965
200	1.501	1.616	0.7375	0.6222	0.3164	0.9534
210	1.484	1.598	0.7276	0.6134	0.3126	0.9416
220	1.466	1.579	0.7175	0.6047	0.3086	0.9294
230	1.448	1.559	0.7071	0.596	0.3046	0.917
240	1.429	1.538	0.6966	0.5874	0.3004	0.9043
250	1.41	1.517	0.6859	0.5787	0.2961	0.8914
260	1.39	1.494	0.6749	0.5701	0.2917	0.8782
270	1.369	1.471	0.6637	0.5615	0.2872	0.8647
273	1.363	1.464	0.6604	0.5589	0.2858	0.8606
