Size(um)	%Chan	 %  Pass 
2000	0	100
1674	0	100
1408	0	100
1184	2.16	100
995.6	3.06	97.84
837.2	7.03	94.78
704	5.59	87.75
592	7.22	82.16
497.8	6.79	74.94
418.6	8.05	68.15
352	7.18	60.1
296	5.56	52.92
248.9	5.28	47.36
209.3	4.05	42.08
176	3.35	38.03
148	3.1	34.68
124.5	2.98	31.58
104.7	2.86	28.6
88	2.64	25.74
74	2.38	23.1
62.23	2.22	20.72
52.33	2.05	18.5
44	1.86	16.45
37	1.67	14.59
31.11	1.48	12.92
26.16	1.32	11.44
22	1.18	10.12
18.5	1.07	8.94
15.56	0.98	7.87
13.08	0.92	6.89
11	0.86	5.97
9.25	0.81	5.11
7.78	0.76	4.3
6.54	0.7	3.54
5.5	0.64	2.84
4.63	0.65	2.2
3.89	0.6	1.55
3.27	0.47	0.95
2.75	0.25	0.48
2.313	0.12	0.23
1.945	0.11	0.11
1.635	0	0
1.375	0	0
1.156	0	0
0.972	0	0
0.818	0	0
0.688	0	0
0.578	0	0
0.486	0	0
0.409	0	0
0.344	0	0
0.289	0	0
0.243	0	0
0.204	0	0
0.172	0	0
0.145	0	0
0.122	0	0
0.102	0	0
0.086	0	0
0.072	0	0
0.061	0	0
0.051	0	0
0.043	0	0
0.036	0	0
0.03	0	0
0.0255	0	0
0.0215	0	0
0.0181	0	0
0.0152	0	0
0.0128	0	0
