Size(um)	%Chan	 %  Pass 
2000	0	100
1674	0	100
1408	0	100
1184	0	100
995.6	0	100
837.2	1	100
704	3.16	99
592	4.11	95.84
497.8	4.97	91.73
418.6	5.1	86.76
352	5.95	81.66
296	5.39	75.71
248.9	5.12	70.32
209.3	4.97	65.2
176	4.64	60.23
148	4.41	55.59
124.5	4.29	51.18
104.7	4.27	46.89
88	4.18	42.62
74	3.91	38.44
62.23	3.67	34.53
52.33	3.39	30.86
44	3.12	27.47
37	2.85	24.35
31.11	2.58	21.5
26.16	2.34	18.92
22	2.1	16.58
18.5	1.87	14.48
15.56	1.64	12.61
13.08	1.43	10.97
11	1.25	9.54
9.25	1.09	8.29
7.78	0.96	7.2
6.54	0.83	6.24
5.5	0.73	5.41
4.63	0.69	4.68
3.89	0.66	3.99
3.27	0.62	3.33
2.75	0.59	2.71
2.313	0.55	2.12
1.945	0.51	1.57
1.635	0.46	1.06
1.375	0.39	0.6
1.156	0.21	0.21
0.972	0	0
0.818	0	0
0.688	0	0
0.578	0	0
0.486	0	0
0.409	0	0
0.344	0	0
0.289	0	0
0.243	0	0
0.204	0	0
0.172	0	0
0.145	0	0
0.122	0	0
0.102	0	0
0.086	0	0
0.072	0	0
0.061	0	0
0.051	0	0
0.043	0	0
0.036	0	0
0.03	0	0
0.0255	0	0
0.0215	0	0
0.0181	0	0
0.0152	0	0
0.0128	0	0
