#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.05, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/20/2023 8:48:4, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.315
t (ns), A (mV)
+00000E0, +7813E-09
+10000E-2, +1563E-08
+20000E-2, +2344E-08
+30000E-2, +7813E-09
+40000E-2, +2344E-08
+50000E-2, +0000E00
+60000E-2, +7813E-09
+70000E-2, +1563E-08
+80000E-2, +0000E00
+90000E-2, +3125E-08
+10000E-1, +0000E00
+11000E-1, +7813E-09
+12000E-1, +0000E00
+13000E-1, +7813E-09
+14000E-1, +1563E-08
+15000E-1, +3125E-08
+16000E-1, +0000E00
+17000E-1, +7813E-09
+18000E-1, +7813E-09
+19000E-1, +1563E-08
+20000E-1, +0000E00
+21000E-1, +7813E-09
+22000E-1, +0000E00
+23000E-1, +7813E-09
+24000E-1, +7813E-09
+25000E-1, +2344E-08
+26000E-1, +1563E-08
+27000E-1, +7813E-09
+28000E-1, +0000E00
+29000E-1, -7813E-09
+30000E-1, +3125E-08
+31000E-1, -7813E-09
+32000E-1, +0000E00
+33000E-1, +2344E-08
+34000E-1, +0000E00
+35000E-1, -7813E-09
+36000E-1, +0000E00
+37000E-1, +0000E00
+38000E-1, +1563E-08
+39000E-1, +0000E00
+40000E-1, +0000E00
+41000E-1, +7813E-09
+42000E-1, +0000E00
+43000E-1, +0000E00
+44000E-1, +0000E00
+45000E-1, +7813E-09
+46000E-1, +1563E-08
+47000E-1, +7813E-09
+48000E-1, +0000E00
+49000E-1, +2344E-08
+50000E-1, -7813E-09
+51000E-1, +4688E-08
+52000E-1, +7813E-09
+53000E-1, +1563E-08
+54000E-1, +7813E-09
+55000E-1, +2344E-08
+56000E-1, +0000E00
+57000E-1, +0000E00
+58000E-1, +1563E-08
+59000E-1, +0000E00
+60000E-1, +2344E-08
+61000E-1, +0000E00
+62000E-1, -7813E-09
+63000E-1, +0000E00
+64000E-1, +7813E-09
+65000E-1, -7813E-09
+66000E-1, +7813E-09
+67000E-1, -7813E-09
+68000E-1, -7813E-09
+69000E-1, -7813E-09
+70000E-1, +0000E00
+71000E-1, -7813E-09
+72000E-1, +6250E-08
+73000E-1, +7813E-09
+74000E-1, +3125E-08
+75000E-1, +0000E00
+76000E-1, +0000E00
+77000E-1, +1563E-08
+78000E-1, +7813E-09
+79000E-1, +2344E-08
+80000E-1, -7813E-09
+81000E-1, +0000E00
+82000E-1, +0000E00
+83000E-1, +0000E00
+84000E-1, +7813E-09
+85000E-1, +7813E-09
+86000E-1, -7813E-09
+87000E-1, +1563E-08
+88000E-1, +0000E00
+89000E-1, +7813E-09
+90000E-1, +7813E-09
+91000E-1, +1563E-08
+92000E-1, +0000E00
+93000E-1, +1563E-08
+94000E-1, +7813E-09
+95000E-1, -1563E-08
+96000E-1, +1563E-08
+97000E-1, +0000E00
+98000E-1, +7813E-09
+99000E-1, +7813E-09
+10000E0, +7813E-09
+10100E0, +1563E-08
+10200E0, +1563E-08
+10300E0, +1563E-08
+10400E0, +1563E-08
+10500E0, +1563E-08
+10600E0, +7813E-09
+10700E0, -7813E-09
+10800E0, +0000E00
+10900E0, +0000E00
+11000E0, +0000E00
+11100E0, -7813E-09
+11200E0, +7813E-09
+11300E0, +0000E00
+11400E0, -7813E-09
+11500E0, +1563E-08
+11600E0, +2344E-08
+11700E0, +1563E-08
+11800E0, +3906E-08
+11900E0, +7813E-09
+12000E0, +2344E-08
+12100E0, +0000E00
+12200E0, +2344E-08
+12300E0, +2344E-08
+12400E0, +7813E-09
+12500E0, +3125E-08
+12600E0, +5469E-08
+12700E0, +7813E-09
+12800E0, +0000E00
+12900E0, +2344E-08
+13000E0, -7813E-09
+13100E0, +0000E00
+13200E0, +7813E-09
+13300E0, +7813E-09
+13400E0, +1563E-08
+13500E0, +0000E00
+13600E0, +7813E-09
+13700E0, -1563E-08
+13800E0, +3125E-08
+13900E0, +7813E-09
+14000E0, +0000E00
+14100E0, +7813E-09
+14200E0, +7813E-09
+14300E0, +1563E-08
+14400E0, +3125E-08
+14500E0, +1563E-08
+14600E0, +0000E00
+14700E0, +7813E-09
+14800E0, +0000E00
+14900E0, -7813E-09
+15000E0, +1563E-08
+15100E0, -7813E-09
+15200E0, +7813E-09
+15300E0, +7813E-09
+15400E0, +3125E-08
+15500E0, +1563E-08
+15600E0, +1563E-08
+15700E0, +0000E00
+15800E0, +7813E-09
+15900E0, +2344E-08
+16000E0, +1563E-08
+16100E0, +0000E00
+16200E0, +2344E-08
+16300E0, +3125E-08
+16400E0, +7813E-09
+16500E0, +3125E-08
+16600E0, -7813E-09
+16700E0, +3125E-08
+16800E0, +7813E-09
+16900E0, +7813E-09
+17000E0, +0000E00
+17100E0, +2344E-08
+17200E0, +0000E00
+17300E0, +0000E00
+17400E0, +7813E-09
+17500E0, +0000E00
+17600E0, +0000E00
+17700E0, +1563E-08
+17800E0, +0000E00
+17900E0, +0000E00
+18000E0, +7813E-09
+18100E0, +0000E00
+18200E0, -7813E-09
+18300E0, +7813E-09
+18400E0, +2344E-08
+18500E0, +7813E-09
+18600E0, +0000E00
+18700E0, -7813E-09
+18800E0, +0000E00
+18900E0, -7813E-09
+19000E0, +1563E-08
+19100E0, +7813E-09
+19200E0, +0000E00
+19300E0, -7813E-09
+19400E0, +0000E00
+19500E0, +1563E-08
+19600E0, +7813E-09
+19700E0, +0000E00
+19800E0, +1563E-08
+19900E0, -7813E-09
+20000E0, +7813E-09
+20100E0, +2344E-08
+20200E0, +7813E-09
+20300E0, +0000E00
+20400E0, +1563E-08
+20500E0, +3906E-08
+20600E0, +0000E00
+20700E0, +7813E-09
+20800E0, -7813E-09
+20900E0, +1563E-08
+21000E0, +2344E-08
+21100E0, -7813E-09
+21200E0, +7813E-09
+21300E0, -7813E-09
+21400E0, +0000E00
+21500E0, +7813E-09
+21600E0, +2344E-08
+21700E0, +7813E-09
+21800E0, +0000E00
+21900E0, +0000E00
+22000E0, -7813E-09
+22100E0, +0000E00
+22200E0, -7813E-09
+22300E0, -7813E-09
+22400E0, +7813E-09
+22500E0, -7813E-09
+22600E0, +0000E00
+22700E0, +2344E-08
+22800E0, +0000E00
+22900E0, +7813E-09
+23000E0, +7813E-09
+23100E0, -7813E-09
+23200E0, +1563E-08
+23300E0, +2344E-08
+23400E0, +1563E-08
+23500E0, +0000E00
+23600E0, -7813E-09
+23700E0, +7813E-09
+23800E0, +7813E-09
+23900E0, +2344E-08
+24000E0, +7813E-09
+24100E0, +3125E-08
+24200E0, +1563E-08
+24300E0, +7813E-09
+24400E0, +0000E00
+24500E0, +0000E00
+24600E0, +0000E00
+24700E0, +0000E00
+24800E0, -7813E-09
+24900E0, +1563E-08
+25000E0, -7813E-09
+25100E0, +0000E00
+25200E0, +7813E-09
+25300E0, +0000E00
+25400E0, +7813E-09
+25500E0, +2344E-08
+25600E0, +7813E-09
+25700E0, +0000E00
+25800E0, +2344E-08
+25900E0, +0000E00
+26000E0, +7813E-09
+26100E0, +0000E00
+26200E0, +0000E00
+26300E0, +0000E00
+26400E0, +7813E-09
+26500E0, +1563E-08
+26600E0, +0000E00
+26700E0, +2344E-08
+26800E0, +3125E-08
+26900E0, +0000E00
+27000E0, +1563E-08
+27100E0, +0000E00
+27200E0, +0000E00
+27300E0, +0000E00
+27400E0, +0000E00
+27500E0, +7813E-09
+27600E0, +7813E-09
+27700E0, +1563E-08
+27800E0, +0000E00
+27900E0, +1563E-08
+28000E0, +0000E00
+28100E0, +7813E-09
+28200E0, +0000E00
+28300E0, +0000E00
+28400E0, +2344E-08
+28500E0, +7813E-09
+28600E0, +7813E-09
+28700E0, +7813E-09
+28800E0, -7813E-09
+28900E0, +0000E00
+29000E0, +0000E00
+29100E0, +0000E00
+29200E0, +2344E-08
+29300E0, +0000E00
+29400E0, +7813E-09
+29500E0, +2344E-08
+29600E0, +1563E-08
+29700E0, +7813E-09
+29800E0, +0000E00
+29900E0, +2344E-08
+30000E0, +0000E00
+30100E0, +3125E-08
+30200E0, +7813E-09
+30300E0, -7813E-09
+30400E0, +2344E-08
+30500E0, -7813E-09
+30600E0, +2344E-08
+30700E0, +0000E00
+30800E0, -1250E-07
+30900E0, +0000E00
