#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.005, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/26/2023 2:4:48, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.388
t (ns), A (mV)
+00000E0, +1047E-06
+10000E-2, +1056E-06
+20000E-2, +1032E-06
+30000E-2, +1069E-06
+40000E-2, +1043E-06
+50000E-2, +1034E-06
+60000E-2, +1054E-06
+70000E-2, +1047E-06
+80000E-2, +1021E-06
+90000E-2, +1063E-06
+10000E-1, +1030E-06
+11000E-1, +1057E-06
+12000E-1, +1039E-06
+13000E-1, +1068E-06
+14000E-1, +1032E-06
+15000E-1, +1069E-06
+16000E-1, +1066E-06
+17000E-1, +1053E-06
+18000E-1, +1043E-06
+19000E-1, +1056E-06
+20000E-1, +1047E-06
+21000E-1, +1023E-06
+22000E-1, +1018E-06
+23000E-1, +1033E-06
+24000E-1, +1055E-06
+25000E-1, +1023E-06
+26000E-1, +1049E-06
+27000E-1, +1027E-06
+28000E-1, +1032E-06
+29000E-1, +1064E-06
+30000E-1, +1048E-06
+31000E-1, +1057E-06
+32000E-1, +1066E-06
+33000E-1, +1020E-06
+34000E-1, +1058E-06
+35000E-1, +1048E-06
+36000E-1, +1079E-06
+37000E-1, +1050E-06
+38000E-1, +1071E-06
+39000E-1, +1062E-06
+40000E-1, +1069E-06
+41000E-1, +1053E-06
+42000E-1, +1059E-06
+43000E-1, +1047E-06
+44000E-1, +1066E-06
+45000E-1, +1052E-06
