VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (MPa)
71	1.703	0.428	0.005
133	1.732	0.419	0.03
148	1.749	0.413	0.055
170	1.756	0.411	0.08
90	1.728	0.420	0.005
136	1.761	0.409	0.03
163	1.771	0.406	0.055
186	1.783	0.402	0.08
74	1.669	0.440	0.005
125	1.708	0.427	0.03
154	1.733	0.418	0.055
165	1.734	0.418	0.08
77	1.655	0.445	0.005
130	1.735	0.418	0.03
158	1.740	0.416	0.055
172	1.740	0.416	0.08
90	1.699	0.430	0.005
127	1.738	0.417	0.03
168	1.776	0.404	0.055
183	1.787	0.400	0.08
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
