VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	VAC STAGE
65	1.669	0.440	0
66	1.669	0.440	1
65	1.669	0.440	2
71	1.683	0.435	0
72	1.683	0.435	1
70	1.683	0.435	2
64	1.626	0.454	0
67	1.626	0.454	1
64	1.626	0.454	2
61	1.592	0.466	0
61	1.592	0.466	1
60	1.592	0.466	2
62	1.639	0.450	0
62	1.639	0.450	1
58	1.639	0.450	2
61	1.596	0.465	0
61	1.596	0.465	1
61	1.596	0.465	2
64	1.624	0.455	0
65	1.624	0.455	1
64	1.624	0.455	2
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
