VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (Mpa)
279	1.408	0.421	0.005
410	1.463	0.399	0.03
469	1.477	0.393	0.055
525	1.482	0.391	0.08
321	1.442	0.407	0.005
417	1.508	0.380	0.03
468	1.536	0.368	0.055
520	1.536	0.368	0.08
362	1.375	0.435	0.005
455	1.415	0.418	0.03
518	1.421	0.416	0.055
559	1.434	0.410	0.08
313	1.326	0.455	0.005
454	1.389	0.429	0.03
479	1.409	0.421	0.055
536	1.414	0.419	0.08
292	1.354	0.443	0.005
452	1.379	0.433	0.03
498	1.404	0.423	0.055
561	1.404	0.423	0.08
318	1.321	0.457	0.005
449	1.364	0.439	0.03
499	1.384	0.431	0.055
528	1.395	0.427	0.08
320	1.339	0.450	0.005
464	1.369	0.437	0.03
528	1.379	0.433	0.055
559	1.390	0.429	0.08
278	1.324	0.456	0.005
429	1.360	0.441	0.03
495	1.375	0.435	0.055
538	1.387	0.430	0.08
