VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
398	1.069	0.480
412	1.091	0.469
376	1.136	0.447
362	1.107	0.461
389	1.108	0.461
439	1.145	0.443
382	1.121	0.455
419	1.130	0.450
395	1.135	0.448
403	1.099	0.465
389	1.113	0.458
385	1.134	0.448
400	1.063	0.483
377	1.073	0.478
372	1.068	0.480
387	1.074	0.477
403	1.104	0.463
376	1.063	0.483
384	1.081	0.474
362	1.084	0.473
351	1.184	0.424
421	1.191	0.421
418	1.188	0.422
371	1.180	0.426
370	1.172	0.430
374	1.162	0.435
423	1.172	0.430
379	1.180	0.426
432	1.194	0.419
420	1.167	0.432
405	1.174	0.429
427	1.199	0.417
495	1.180	0.426
402	1.163	0.434
411	1.189	0.421
418	1.171	0.430
482	1.173	0.429
405	1.184	0.424
469	1.186	0.423
414	1.179	0.426
380	0.971	0.528
368	0.998	0.514
416	1.004	0.512
392	0.959	0.534
396	0.989	0.519
375	0.986	0.520
384	0.961	0.532
381	0.986	0.520
373	0.989	0.519
437	1.016	0.506
446	1.051	0.489
446	1.007	0.510
402	1.003	0.512
400	0.990	0.518
424	1.018	0.505
398	0.970	0.528
401	0.975	0.526
405	0.991	0.518
427	0.991	0.518
409	1.012	0.508
