VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
95	1.591	0.442
99	1.592	0.442
81	1.597	0.440
95	1.598	0.440
90	1.552	0.456
91	1.583	0.445
92	1.555	0.455
84	1.516	0.468
87	1.600	0.439
93	1.525	0.465
119	1.689	0.408
116	1.661	0.418
114	1.671	0.414
122	1.690	0.407
102	1.700	0.404
101	1.715	0.398
97	1.713	0.399
90	1.654	0.420
93	1.637	0.426
101	1.654	0.420
78	1.400	0.509
77	1.410	0.506
78	1.423	0.501
74	1.439	0.495
75	1.437	0.496
78	1.402	0.508
82	1.428	0.499
78	1.428	0.499
76	1.397	0.510
79	1.380	0.516
